Method,Accuracy,CI_low,CI_high,N_games
Entropy Prediction,0.989,0.9825353862829762,0.9954646137170238,1000
Hybrid Prediction_Euclidean,0.952,0.9387508754149401,0.9652491245850598,1000
Rule-Based Prediction,0.923,0.9064767945045293,0.9395232054954707,1000
