,Rule-Based Prediction,Hybrid Prediction_Euclidean,Entropy Prediction
Rule-Based Prediction,0,-0.029,-0.066
Hybrid Prediction_Euclidean,0.029,0,-0.037
Entropy Prediction,0.066,0.037,0
