,Rule-Based Prediction,Hybrid Prediction_Euclidean,Entropy Prediction
Rule-Based Prediction,1.0,0.901,0.916
Hybrid Prediction_Euclidean,0.901,1.0,0.947
Entropy Prediction,0.916,0.947,1.0
